surname,name,team,pos,#
Abdul,Jindřich,VIT,Ú,24.0
Adámek,Marian,TRI,O,55.0
Ahac,Layton Ford,LIB,O,2.0
Anděl,Lukáš,OLO,Ú,24.0
Aubrecht,David,LIB,O,6.0
Audette,Daniel,KLA,Ú,28.0
Auvitu,Yohann,VIT,O,81.0
Baláž,Ondřej,LIT,O,13.0
Bambula,Jan,KVA,Ú,86.0
Bambula,Jan,VIT,,72.0
Bareš,Adam,KLA,Ú,10.0
Barinka,Marcel,KLA,Ú,91.0
Bartejs,Tomáš,KOM,O,
Bartovič,Adrien,LIB,,72.0
Baránek,Marek,LIB,O,91.0
Baránek,Marek,LIT,,4.0
Batna,Oskars,MHK,Ú,95.0
Bednařík,Jonáš,LIT,Ú,
Beran,Vít,LIT,O,36.0
Berglund,Carl,MBL,Ú,29.0
Berka,Marek,LIT,Ú,
Bernad,David,MBL,O,71.0
Bernovský,Jan,VIT,Ú,20.0
Beroun,Tadeáš,KOM,O,11.0
Beránek,Martin,CEB,Ú,56.0
Beránek,Ondřej,KVA,Ú,8.0
Blain,Jeremie,KLA,O,55.0
Bláha,Ondřej,KLA,Ú,9.0
Bláha,Ondřej,SPA,,
Boltvan,Adam,KOM,Ú,7.0
Brož,Jaroslav,LIT,Ú,5.0
Brízgala,Adam,KLA,,1.0
Brůna,Patrik,VIT,O,5.0
Buchtele,Jan,MBL,Ú,47.0
Budík,Vojtěch,VIT,O,73.0
Bulíř,Michal,CEB,Ú,88.0
Bunnaman,Connor Dave,MHK,Ú,74.0
Byrtus,Dominick Radim,TRI,O,16.0
Chabada,Ondřej,PCE,O,
Chlapík,Filip,SPA,Ú,14.0
Chlubna,Tomáš,CEB,Ú,10.0
Chludil,Danny,KOM,Ú,86.0
Chvátal,Marek,OLO,O,59.0
Cibulka,Tomáš,CEB,O,65.0
Cichoň,Oldřich,OLO,,29.0
Cienciala,David,TRI,Ú,81.0
Cingel,Lukáš,KOM,Ú,6.0
Cosgrove,Trevor,OLO,O,61.0
Czuczman,Kevin,LIT,O,27.0
Cícha,Matyáš,CEB,O,
Dansk,Oscar,KLA,,35.0
Daňo,Marko,TRI,Ú,56.0
Dello,Tory,KVA,O,3.0
Demel,Patrik,VIT,O,7.0
Dlapa,Ondřej,MHK,O,72.0
Doktor,Jakub,OLO,Ú,89.0
Dolejš,Daniel,TRI,,37.0
Dorot,Ondřej,KVA,O,77.0
Doudera,Milan,CEB,O,52.0
Dočekal,Martin,VIT,Ú,43.0
Dravecký,Vladimír,TRI,Ú,22.0
Dvořák,Tomáš,PCE,O,7.0
Dyk,Kryštof,KVA,O,28.0
Dzierkals,Martins,SPA,Ú,16.0
Eberle,Jan,SPA,Ú,20.0
Edmonds,Lucas,VIT,Ú,9.0
Egle,Haralds,KVA,Ú,10.0
Ekrt,Jan,KOM,Ú,10.0
Fasner,Šimon,VIT,Ú,22.0
Faško-Rudáš,Martin,LIB,Ú,77.0
Fejes,Samuel Hunter,PCE,Ú,18.0
Ferda,Radim,KOM,Ú,63.0
Filip,Matyáš,PLZ,Ú,42.0
Filippi,Tomáš,LIB,Ú,41.0
Flek,Jakub,KOM,Ú,9.0
Flynn,Oscar,TRI,Ú,18.0
Forman,Miroslav,KLA,Ú,88.0
Formánek,František,PCE,Ú,12.0
Fořt,Tomáš,MBL,Ú,12.0
Freibergs,Ralfs,VIT,O,29.0
Fridrich,Petr,OLO,Ú,11.0
Frodl,Dominik,KVA,,
Fronk,Jiří,VIT,Ú,
Furch,Dominik,MBL,,38.0
Furch,Michal,KOM,O,3.0
Gajdoš,František,LIT,O,13.0
Galvas,Jakub,TRI,O,76.0
Galvas,Tomáš,LIB,O,79.0
Gardoň,Matěj,MBL,Ú,88.0
Gazda,Daniel,PCE,O,43.0
Gašo,Alex,MHK,Ú,
Gewiese,Petr,MBL,O,44.0
Gricius,Jake,PLZ,Ú,
Gríger,Dávid,MBL,Ú,16.0
Gulaši,Michal,KOM,O,24.0
Gut,Michal,LIT,Ú,62.0
Hamalčík,Petr,LIB,,1.0
Hanousek,Tomáš,LIB,O,67.0
Hanzl,Martin,VIT,Ú,79.0
Harris,Brant,CEB,Ú,23.0
Hartl,Michal,KOM,Ú,57.0
Hauser,Petr,VIT,Ú,93.0
Havlín,Tomáš,MBL,O,77.0
Hašek,Petr,MHK,Ú,13.0
Herman,Tomáš,VIT,O,
Herčík,Daniel,PCE,Ú,97.0
Hladonik,Jan,VIT,Ú,67.0
Hlava,Nicolas,LIT,Ú,77.0
Hoch,Štěpán,CEB,Ú,42.0
Holešinský,Adrián,CEB,Ú,37.0
Holešinský,Adrián,PLZ,,89.0
Holland,Rhett,KOM,O,93.0
Holmström,Axel,LIT,Ú,29.0
Hora,David,MBL,,2.0
Horák,Roman,SPA,Ú,51.0
Houdek,Michal,KLA,O,8.0
Hořejší,Marek,PLZ,Ú,70.0
Hrabina,Marek,VIT,Ú,82.0
Hrabík,Kryštof,KLA,,11.0
Hrabík,Kryštof,SPA,Ú,11.0
Hrabík,Ondřej,SPA,Ú,19.0
Hrachovina,Dominik,VIT,,49.0
Hradec,Vojtěch,MBL,Ú,9.0
Hrehorčák,Patrik,TRI,Ú,19.0
Hrivík,Marek,VIT,Ú,27.0
Hrníčko,Dominik,PCE,Ú,
Hrádek,Michal,OLO,,777.0
Hrádek,Michal,PCE,O,77.0
Hudáček,Libor,TRI,Ú,79.0
Hujer,Jakub,LIB,Ú,94.0
Humeník,Matyáš,CEB,Ú,
Husinecký,Vojtěch,LIT,O,4.0
Hyka,Tomáš,SPA,Ú,38.0
Hájek,Libor,PCE,O,24.0
Hännikäinen,Markus,LIT,Ú,33.0
Ilomäki,Arttu,KOM,Ú,75.0
Indrašis,Miks,MBL,Ú,
Irving,Aaron,SPA,O,24.0
Ivan,Michal,LIB,O,29.0
Jaks,Janis,KVA,O,72.0
Jandus,Martin,KLA,O,63.0
Jank,Bohumil,CEB,,70.0
Jank,Bohumil,TRI,O,70.0
Jansa,Daniel,KLA,,2.0
Jansa,Filip,LIB,Ú,81.0
Jergl,Aleš,MHK,Ú,26.0
Jeřábek,Jakub,PLZ,O,5.0
Jiskra,Vít,KVA,Ú,23.0
